dataset,time
5.2_BASIC.EDU.AID,32.1611213684082
5.51.01.01.poverty,38.8037571907043
5.51.01.02.malnut,38.0643994808197
5.51.01.03.mortal,9.27446436882019
5.51.01.04.immun,10.2992866039276
5.51.01.05.hiv,37.3943605422974
5.51.01.06.matern,37.7555031776428
5.51.01.07.gender,37.9136419296265
5.51.01.08.primcomp,38.2726159095764
5.51.01.09.water,35.0564050674438
5.51.01.10.gdp,38.0634109973907
6.5_NEXT.JSR,1.72651338577271
7.1.2_ESP.PERIOD.END,1.70886206626892
7.13_CURR.ALLOCATION.DISB,30.7742981910706
7.7.1_CURR.ALLOCATION.PERIOD.START,1.62282371520996
7.7.2_CURR.ALLOCATION.PERIOD.END,1.70501041412354
7.8_CURR.ALLOCATION.SIGNATURE,1.677321434021
7.9_CURR.ALLOCATION.CLOSURE,1.62801003456116
ALUMINUM,1.63809537887573
Availability,38.3371138572693
BANANA_EU,1.68927407264709
BANANA_US,1.69412040710449
BARLEY,1.59157156944275
BEEF,1.62429404258728
BNCABFUNDCD_,37.5659189224243
CHICKEN,1.61562538146973
CM.MKT.INDX.ZG,35.0358295440674
COAL_AUS,1.73917126655579
COCOA,1.60272932052612
COCONUT_OIL,1.63729548454285
COFFEE_ARABIC,1.74031734466553
COFFEE_ROBUS,1.59989452362061
Collection,38.1350300312042
COPPER,1.64003658294678
COPRA,1.61614060401917
COTTON_A_INDX,1.65184903144836
CPTOTSAXMZGY,1.71093606948853
CPTOTSAXN,38.4301695823669
CPTOTSAXNZGY,37.9189357757568
CRUDE_BRENT,1.67381596565247
CRUDE_DUBAI,1.70539879798889
CRUDE_PETRO,1.62712717056274
CRUDE_WTI,1.64607644081116
DAP,1.71101212501526
DMGSRMRCHSACD,35.4649715423584
DMGSRMRCHSAKD,35.253871679306
DMGSRMRCHSAXD,36.4627964496613
DPANUSLCU,38.89222407341
DPANUSSPB,38.4071135520935
DPANUSSPF,38.7052907943726
DSTKMKTXD,35.2629821300507
DSTKMKTXN,32.2199454307556
DT.AMT.BLAT.CD,33.4685044288635
DT.AMT.DLXF.CD,33.2495481967926
DT.AMT.DPNG.CD,31.1172578334808
DT.AMT.MLAT.CD,32.8941245079041
DT.AMT.OFFT.CD,33.1203241348267
DT.AMT.PBND.CD,30.6692824363708
DT.AMT.PCBK.CD,30.9704849720001
DT.AMT.PROP.CD,31.0113015174866
DT.AMT.PRVT.CD,31.323582649231
DT.DIS.BLAT.CD,33.0543758869171
DT.DIS.DLXF.CD,32.8832817077637
DT.DIS.MLAT.CD,33.0812530517578
DT.DIS.OFFT.CD,33.2178494930267
DT.DIS.PCBK.CD,30.8369579315186
DT.DIS.PROP.CD,30.6199598312378
DT.DIS.PRVT.CD,30.6046690940857
DT.INT.BLAT.CD,33.1298146247864
DT.INT.DLXF.CD,33.2097320556641
DT.INT.DPNG.CD,31.4195144176483
DT.INT.MLAT.CD,33.1435470581055
DT.INT.OFFT.CD,33.3096904754639
DT.INT.PBND.CD,31.0683016777039
DT.INT.PCBK.CD,30.960301399231
DT.INT.PROP.CD,30.6925327777863
DT.INT.PRVT.CD,31.0100915431976
DXGSRMRCHSACD,31.3047692775726
DXGSRMRCHSAKD,31.1238894462585
DXGSRMRCHSAXD,34.552472114563
EMBI,29.6537711620331
EN.BIR.THRD.NO,33.7155799865723
EN.FSH.THRD.NO,34.1742649078369
EN.HPT.THRD.NO,33.7446477413177
EN.MAM.THRD.NO,33.9321043491364
EN.URB.LCTY,32.0296366214752
EN.URB.LCTY.UR.ZS,31.9779808521271
EN.URB.MCTY,29.8692710399628
EN.URB.MCTY.TL.ZS,30.2662661075592
FB.AST.NPER.ZS,30.5775249004364
FB.BNK.CAPA.ZS,30.4846768379211
FISH_MEAL,1.66005253791809
FP.CPI.TOTL,31.4845414161682
FP.CPI.TOTL.ZG,31.3062765598297
GOLD,1.5806610584259
GRNUT_OIL,1.5457546710968
IAGRICULTURE,1.56084656715393
IBEVERAGES,1.55098867416382
IC.BUS.DISC.XQ,33.3429362773895
IC.BUS.EASE.XQ,33.1208736896515
IC.CRD.INFO.XQ,33.7282900810242
IC.CRD.PRVT.ZS,33.0158443450928
IC.CRD.PUBL.ZS,33.1847350597382
IC.CUS.DURS.EX,28.909462928772
IC.ELC.DURS,29.113285779953
IC.ELC.OUTG,29.4136226177216
IC.ELC.TIME,32.7393729686737
IC.EXP.COST.CD,32.6401832103729
IC.EXP.DOCS,33.1571989059448
IC.EXP.DURS,32.5320744514465
IC.FRM.BNKS.ZS,29.0174231529236
IC.FRM.CMPU.ZS,29.5055274963379
IC.FRM.CORR.ZS,28.6263840198517
IC.FRM.CRIM.ZS,28.441869020462
IC.FRM.DURS,28.2339236736298
IC.FRM.FEMM.ZS,28.1329610347748
IC.FRM.FEMO.ZS,28.1307647228241
IC.FRM.FREG.ZS,28.1891672611237
IC.FRM.ISOC.ZS,28.3112535476685
IC.FRM.OUTG.ZS,28.3799932003021
IC.FRM.TRNG.ZS,28.336615562439
IC.GOV.DURS.ZS,27.9632613658905
IC.IMP.COST.CD,32.2304935455322
IC.IMP.DOCS,31.9826936721802
IC.IMP.DURS,31.9228465557098
IC.ISV.DURS,31.6601161956787
IC.LGL.CRED.XQ,31.8656704425812
IC.LGL.DURS,31.3137505054474
IC.LGL.PROC,31.5223982334137
IC.PRP.DURS,31.1858220100403
IC.PRP.PROC,31.0170788764954
IC.REG.COST.PC.ZS,31.0153348445892
IC.REG.DURS,31.0581407546997
IC.REG.PROC,30.7855854034424
IC.TAX.DURS,31.1606206893921
IC.TAX.GIFT.ZS,26.9295916557312
IC.TAX.LABR.CP.ZS,30.8497548103333
IC.TAX.METG,27.0665736198425
IC.TAX.OTHR.CP.ZS,30.3677594661713
IC.TAX.PAYM,30.5652990341187
IC.TAX.PRFT.CP.ZS,31.7914659976959
IC.TAX.TOTL.CP.ZS,31.5160384178162
IC.WRH.DURS,31.5225422382355
IC.WRH.PROC,31.2500314712524
IENERGY,1.67446088790894
IFATS_OILS,1.67751359939575
IFERTILIZERS,1.59950923919678
IFOOD,1.60268592834473
IGRAINS,1.59417009353638
IMETMIN,1.66204404830933
INONFUEL,1.61316180229187
IOTHERFOOD,1.59740686416626
IOTHERRAWMAT,1.60283279418945
IPTOTSAKD,29.6195583343506
IQ.WEF.CUST.XQ,30.7967312335968
IQ.WEF.PORT.XQ,31.1786260604858
IRAW_MATERIAL,1.61489987373352
IRON_ORE,1.59524631500244
IRON_ORE_SPOT,1.61234474182129
IRSPREAD,29.1523129940033
IS.SHP.GCNW.XQ,29.3659291267395
IT.NET.SECR,29.6218900680542
IT.NET.SECR.P6,30.3360857963562
ITIMBER,1.5873761177063
KALUMINUM,1.59419775009155
KBANANA_EU,1.62260484695435
KBANANA_US,1.65014433860779
KBARLEY,1.69072318077087
KBEEF,1.63897943496704
KCHICKEN,1.6335916519165
KCOAL_AUS,1.6235077381134
KCOCOA,1.60443806648254
KCOCONUT_OIL,1.61444592475891
KCOFFEE_ARABIC,1.52163672447205
KCOFFEE_ROBUS,1.57678532600403
KCOPPER,1.6149046421051
KCOPRA,1.62321448326111
KCOTTON_A_INDX,1.53367447853088
KCRUDE_BRENT,1.69799709320068
KCRUDE_DUBAI,1.59105801582336
KCRUDE_PETRO,1.63298010826111
KCRUDE_WTI,1.52949643135071
KDAP,1.55385208129883
KFISH_MEAL,1.55776429176331
