"datasetX","datasetY","similarity","correlation","pValue","n"
"2.01.01.02.nabase","SP.POP.0710.TO.UN",0.0013548,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0711.FE.UN",0.00157818,0.223600758673194,0.00146228810962913,137
"2.01.01.02.nabase","SP.POP.0711.MA.UN",0.000606639,0.223903330741764,0.00144069583359386,137
"2.01.01.02.nabase","SP.POP.0711.TO.UN",0.0013548,0.223903330741764,0.00144069583359386,137
"2.01.01.02.nabase","SP.POP.0712.FE.UN",0.00157818,0.223298186604624,0.00148417827172564,137
"2.01.01.02.nabase","SP.POP.0712.MA.UN",0.000606639,0.222693042467484,0.00152886708645591,137
"2.01.01.02.nabase","SP.POP.0712.TO.UN",0.0013548,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0713.FE.UN",0.00157818,0.224508474878904,0.00139839034348271,137
"2.01.01.02.nabase","SP.POP.0713.MA.UN",0.000606639,0.222390470398914,0.00155167325482872,137
"2.01.01.02.nabase","SP.POP.0713.TO.UN",0.0013548,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.1014.FE.UN",0.00157818,0.222995614536054,0.00150637001804925,137
"2.01.01.02.nabase","SP.POP.1014.MA.UN",0.000606639,0.222402407301872,0.00155165356337701,137
"2.01.01.02.nabase","SP.POP.1014.TO.UN",0.0013548,0.222693042467484,0.00152886708645591,137
"2.01.01.02.nabase","SP.POP.1015.FE.UN",0.00157818,0.221180182124634,0.00164606590561012,137
"2.01.01.02.nabase","SP.POP.1015.MA.UN",0.000606639,0.221482754193204,0.00162198474610773,137
"2.01.01.02.nabase","SP.POP.1015.TO.UN",0.0013548,0.221785326261774,0.00159822820517513,137
"2.01.01.02.nabase","SP.POP.1016.FE.UN",0.00157818,0.220575037987495,0.00169521805493998,137
"2.01.01.02.nabase","SP.POP.1016.MA.UN",0.000606639,0.220877610056065,0.00167047566681521,137
"2.01.01.02.nabase","SP.POP.1016.TO.UN",0.0013548,0.219969893850355,0.00174571702532943,137
"2.01.01.02.nabase","SP.POP.1017.FE.UN",0.00157818,0.218457033507505,0.00187807544316591,137
"2.01.01.02.nabase","SP.POP.1017.MA.UN",0.000606639,0.219969893850355,0.00174571702532943,137
"2.01.01.02.nabase","SP.POP.1017.TO.UN",0.0013548,0.219667321781785,0.00177148187159259,137
"2.01.01.02.nabase","SP.POP.1018.FE.UN",0.00157818,0.217851889370365,0.00193355320303543,137
"2.01.01.02.nabase","SP.POP.1018.MA.UN",0.000606639,0.219969893850355,0.00174571702532943,137
"2.01.01.02.nabase","SP.POP.1018.TO.UN",0.0013548,0.219364749713215,0.00179759587347716,137
"2.01.01.02.nabase","SP.POP.1115.FE.UN",0.00157818,0.221180182124634,0.00164606590561012,137
"2.01.01.02.nabase","SP.POP.1115.MA.UN",0.000606639,0.221180182124634,0.00164606590561012,137
"2.01.01.02.nabase","SP.POP.1115.TO.UN",0.0013548,0.220877610056065,0.00167047566681521,137
"2.01.01.02.nabase","SP.POP.1116.FE.UN",0.00157818,0.219364749713215,0.00179759587347716,137
"2.01.01.02.nabase","SP.POP.1116.MA.UN",0.000606639,0.219969893850355,0.00174571702532943,137
"2.01.01.02.nabase","SP.POP.1116.TO.UN",0.0013548,0.219969893850355,0.00174571702532943,137
"2.01.01.02.nabase","SP.POP.1117.FE.UN",0.00157818,0.217851889370365,0.00193355320303543,137
